Gene,Unnamed: 0,Count,Mean,Std,q1,q2,q3,q4,A,B
group_1535,58,2,0.177370031,0.177370031,0,0.177370031,0.354740061,0.354740061,1,1
nqrB,59,419,0.000596119,0.000583643,0,0.00081103,0.00081103,0.00486618,298,121
group_758,60,281,0.010900493,0.03827141,0,0,0,0.158249158,165,116
group_79,61,346,0.225976505,0.170362815,0.049833887,0.199335548,0.368770764,0.607973422,242,104
serS,62,416,0.002520958,0.008081901,0.000771605,0.00154321,0.002314815,0.162808642,295,121
spoT,65,419,0.003379959,0.025291677,0.000455996,0.000911993,0.001823985,0.371637027,298,121
group_2697,67,10,0.005882353,0.006122547,0,0,0.012254902,0.012254902,2,8
group_2542,68,69,0.001555851,0.004541913,0,0,0,0.024691358,37,32
group_2365,69,55,0.001385063,0.00101097,0.001157407,0.001157407,0.002314815,0.005787037,41,14
group_62,70,31,0.32077866,0.279979454,0.046563193,0.17405765,0.638580931,0.783813747,28,3
folP,71,414,0.01578063,0.04655022,0.001169591,0.003508772,0.007017544,0.380116959,293,121
group_930,72,208,0.049371302,0.049208073,0,0.016393443,0.098360656,0.120218579,137,71
hemN_1,73,419,0.005437205,0.003941471,0.00170068,0.006802721,0.007653061,0.020408163,298,121
group_496,74,419,0.117037003,0.167787161,0.000925926,0.044444444,0.301851852,0.494444444,298,121
group_1134,75,417,0.002451516,0.023637189,0,0,0,0.246527778,296,121
group_1713,76,413,0.001160777,0.00192122,0,0,0.001851852,0.011111111,298,115
group_1888,77,415,7.06E-05,0.000584935,0,0,0,0.009803922,295,120
group_1960,82,418,0.000212767,0.0005199,0,0,0,0.006140351,297,121
capA,83,417,0.038531966,0.042453644,0,0.001187648,0.078384798,0.166270784,296,121
glk,84,418,0.000782789,0.000724761,0,0.001013171,0.001013171,0.005065856,297,121
xanQ_1,85,420,0.147271391,0.150880726,0.004307251,0.104809763,0.28356066,0.786791098,298,122
group_4008,86,419,0.003351215,0.003544763,0.001557632,0.001557632,0.004672897,0.020249221,298,121
group_2431,87,252,0.000111532,0.000505077,0,0,0,0.004728132,157,95
group_2997,88,3,0.00259909,0.002905871,0,0,0.005847953,0.005847953,1,2
group_843,89,418,0.102668014,0.193988071,0.002096436,0.002096436,0.006289308,0.492662474,297,121
group_630,90,80,0.042300145,0.123626115,0,0,0.003875969,0.430232558,58,22
hscA,91,417,0.025089713,0.062609035,0.001485884,0.003962358,0.008915305,0.860822189,296,121
rpmB,92,418,0.00028147,0.001069637,0,0,0,0.008547009,297,121
nqo2,93,417,0.000310446,0.000763438,0,0,0,0.004219409,297,120
group_1660,94,418,0.002327646,0.002705458,0,0,0.004830918,0.024154589,297,121
group_1047,95,8,0.038959251,0.067017914,0.001468429,0.005139501,0.008810573,0.170337739,5,3
repE,96,110,0.04879868,0.157634217,0,0,0.001013171,0.773049645,83,27
group_1788,97,417,0.001274909,0.001279988,0,0.002364066,0.002364066,0.007092199,297,120
group_3115,98,2,0,0,0,0,0,0,2,0
group_1813,100,417,0.000575032,0.000930906,0,0,0.002070393,0.004140787,296,121
ogt,101,419,0.016015561,0.057834799,0.001328021,0.002656042,0.029216467,0.942895086,298,121
group_798,102,414,0.00521142,0.049494729,0,0.001883239,0.001883239,0.696798493,294,120
lutB,103,417,0.000641038,0.000513386,0,0.000687285,0.000687285,0.002749141,296,121
group_382,104,418,0.010939463,0.008956449,0,0.008888889,0.017777778,0.026666667,297,121
group_2599,106,7,0.00031367,0.000299889,0,0.000480307,0.000480307,0.000960615,7,0
hpf,107,418,0.001297247,0.001555896,0,0.002157497,0.002157497,0.019417476,297,121
trpA,108,419,0.001959781,0.002913547,0,0.001272265,0.002544529,0.041984733,298,121
gatC,110,412,0.001099412,0.005581611,0,0,0,0.037800687,291,121
group_1620,111,2,0.013095238,0.013095238,0,0.013095238,0.026190476,0.026190476,2,0
group_1853,113,263,0,0,0,0,0,0,155,108
group_3155,115,2,0,0,0,0,0,0,0,2
group_319,116,415,0.177767655,0.150853296,0.077490775,0.173431734,0.263222632,0.594095941,295,120
group_970,117,32,0.00604022,0.005648836,0,0.00617284,0.00617284,0.024691358,14,18
group_703,118,419,0.014502393,0.012820897,0.00136612,0.005464481,0.027322404,0.031420765,298,121
group_124,119,67,0.020110964,0.011960927,0.010224949,0.022494888,0.030674847,0.059304703,43,24
group_898,120,383,0.014650017,0.014770251,0,0.010989011,0.029304029,0.054945055,270,113
group_2325,121,6,0.00131288,0.00105475,0,0.001243781,0.002487562,0.002487562,5,1
group_2502,122,3,0,0,0,0,0,0,3,0
prpC,123,419,0.01187845,0.009440318,0.005221932,0.011314186,0.019147084,0.09921671,298,121
rsuA,124,419,0.001971992,0.001440659,0.001443001,0.001443001,0.002886003,0.004329004,298,121
group_1753,125,405,3.55E-05,0.000290748,0,0,0,0.002415459,287,118
group_1174,126,417,0.000936421,0.011143267,0,0,0,0.163978495,296,121
traG,127,209,0.011820959,0.087491835,0,0.000529101,0.000529101,0.989417989,137,72
gloC,128,417,0.010232309,0.057327131,0,0,0.003159558,0.933649289,296,121
group_1920,129,416,0.001454618,0.001998194,0,0,0.002962963,0.007407407,295,121
group_3026,130,3,0.000458663,0.000512801,0,0,0.001031992,0.001031992,0,3
group_1122,133,148,0.002576234,0.004155733,0,0,0.004385965,0.013157895,117,31
group_1705,134,23,0.003548569,0.002958627,0,0.004385965,0.006578947,0.010964912,14,9
group_1976,138,415,0.001984651,0.001969859,0,0.002688172,0.002688172,0.008064516,296,119
group_1538,139,9,0.003551332,0.005929375,0,0.000971817,0.001457726,0.016520894,1,8
glmU,140,418,0.009440269,0.032675249,0.00281294,0.004922644,0.007735584,0.49859353,297,121
group_2554,142,4,0,0,0,0,0,0,2,2
frmA_1,145,419,0.000730123,0.000762684,0,0.001371742,0.001371742,0.004115226,298,121
group_74,146,249,0.05110225,0.138216416,0.002604167,0.00390625,0.005208333,0.85546875,193,56
group_4085,147,419,0.000109807,0.000706567,0,0,0,0.009259259,298,121
mepH_1,148,418,0.054370508,0.071355905,0.001494768,0.00896861,0.131539611,0.448430493,297,121
ybgI,149,417,0.00796188,0.056217409,0,0.002656042,0.003984064,0.956175299,296,121
group_926,150,78,0.01247661,0.008129604,0.002564103,0.015384615,0.017948718,0.030769231,68,10
group_480,151,418,0.010256183,0.070950836,0.001302083,0.001302083,0.003255208,0.907552083,297,121
group_172,152,644,0.448075495,0.370990407,0.000912409,0.381386861,0.714416058,0.957116788,478,166
nagZ,153,399,0.021916305,0.014946852,0.008287293,0.021178637,0.035911602,0.048802947,288,111
rplD,154,416,0.001599323,0.007747432,0,0,0,0.049679487,295,121
group_1676,155,10,0.007438017,0.015875515,0,0,0,0.041322314,0,10
group_1051,156,129,0.231598541,0.231545028,0,0.004474273,0.463087248,0.465324385,124,5
group_1384,157,417,0.004532851,0.004004217,0,0.005602241,0.008403361,0.014005602,296,121
trmJ,159,419,0.001488073,0.008689423,0,0.00122549,0.00122549,0.128676471,298,121
rlmB_2,162,419,0.008752908,0.005595291,0.005312085,0.009296149,0.013280212,0.023904382,298,121
holA,166,418,0.001478826,0.001112354,0.001001001,0.001001001,0.002002002,0.007007007,297,121
hemX,167,419,0.00348002,0.022162833,0,0,0.000749064,0.179026217,298,121
yacG,168,418,0.001791233,0.002318326,0,0,0.004761905,0.00952381,297,121
slt,169,417,0.007546882,0.004815856,0.004862237,0.008103728,0.009724473,0.049702863,296,121
group_3917,170,419,0.000132745,0.000600474,0,0,0,0.002849003,298,121
group_1011,172,6,0.177366255,0.159148631,0,0.218518519,0.251851852,0.437037037,1,5
group_1636,173,10,0.007673469,0.016002026,0,0,0.000453515,0.042176871,0,10
group_3296,174,2,0,0,0,0,0,0,2,0
gcvH,175,419,0.001613668,0.001567071,0,0.002583979,0.002583979,0.007751938,298,121
group_1845,176,281,0,0,0,0,0,0,165,116
tilS,177,416,0.000500978,0.000554893,0,0.000762777,0.000762777,0.003051106,296,120
putA,180,418,0.007117937,0.005640199,0.001386578,0.008042152,0.011369939,0.020798669,297,121
group_815,181,418,0.002110666,0.022599606,0,0,0,0.342592593,297,121
group_2467,182,208,0.009539575,0.010872196,0,0.001114827,0.022296544,0.024526198,137,71
speB,184,418,0.000846666,0.000833273,0,0.001082251,0.001082251,0.004329004,297,121
fusA,185,416,0.000332424,0.000336138,0,0.000474834,0.000474834,0.002374169,295,121
mntP,186,604,0.37350739,0.341597245,0,0.309734513,0.808259587,0.808259587,407,197
prmC_1,187,417,0.001021683,0.001108063,0,0.001216545,0.00243309,0.003649635,296,121
tcdA,188,419,0.004138276,0.052332791,0,0,0.001287001,0.761904762,298,121
pilQ,189,420,0.010139396,0.049529842,0.000890472,0.001780944,0.012021371,0.978183437,299,121
epsD,190,420,0.488692635,0.429615324,0.070159027,0.463985033,0.926099158,0.997193639,229,191
group_1490,191,4,0.151755853,0.195915964,0,0,0.404682274,0.404682274,0,4
glnE,192,418,0.013572532,0.077145426,0.001486436,0.002601263,0.003716091,0.998141955,297,121
group_1936,193,413,0.000268637,0.001014664,0,0,0,0.008130081,294,119
group_1578,194,11,0.042600324,0.095732321,0,0,0,0.257731959,11,0
group_966,197,14,0.008486321,0.011161138,0.00047824,0.005021521,0.021042563,0.048780488,2,12
group_715,198,363,0.018255047,0.035211422,0,0.008695652,0.008695652,0.171014493,265,98
group_132,199,381,0.011484598,0.015291686,0.005263158,0.010526316,0.015789474,0.194736842,283,98
nuoH,200,418,8.34E-05,0.000270382,0,0,0,0.00185701,297,121
nsrR,201,418,0.001837596,0.024681471,0,0,0,0.36036036,297,121
group_34,202,137,0.258455559,0.226121569,0.047619048,0.19047619,0.43537415,0.723809524,102,35
group_2333,203,20,0.001635802,0.001400047,0,0.002057613,0.002057613,0.004115226,11,9
group_2729,205,5,0,0,0,0,0,0,2,3
group_2941,207,3,0,0,0,0,0,0,0,3
cbbZC,208,419,0.00606896,0.04553429,0.001515152,0.003030303,0.004545455,0.665151515,298,121
group_2732,209,2,0,0,0,0,0,0,2,0
secA_2,210,418,0.021024374,0.104307159,0,0,0.000363504,0.575790622,297,121
group_314,211,421,0.021358317,0.086415268,0,0.001779359,0.005338078,0.987544484,298,123
group_3431,212,2,0,0,0,0,0,0,2,0
group_3216,213,3,0.003152088,0.003524142,0,0,0.007092199,0.007092199,2,1
traJ,214,208,0.000512479,0.001971757,0,0,0,0.026041667,137,71
group_1179,215,417,0.000946548,0.005933461,0,0,0,0.054347826,296,121
rocG,216,36,0.002303384,0.002731162,0,0,0.003703704,0.007407407,27,9
group_1091,217,419,0.002362011,0.033263202,0,0,0,0.485788114,298,121
emrA,218,421,0.030211634,0.103881326,0,0.000804505,0.00160901,0.967819791,297,124
proS,219,419,0.000642211,0.000596404,0,0.000583771,0.001167542,0.002918856,298,121
pdxA,220,417,0.000581195,0.000624702,0,0.001007049,0.001007049,0.003021148,296,121
rsmA,221,419,0.010251109,0.023820197,0.001282051,0.002564103,0.016666667,0.341025641,298,121
cmpB,222,420,0.008697276,0.050660737,0.002849003,0.004273504,0.005698006,0.964387464,299,121
iscA,223,418,7.39E-05,0.000475089,0,0,0,0.00623053,297,121
group_2594,225,2,0.00094162,0.00094162,0,0.00094162,0.001883239,0.001883239,2,0
group_2641,226,2,0,0,0,0,0,0,1,1
group_795,227,418,0.007138199,0.048361867,0.001148106,0.002296211,0.003444317,0.952927669,298,120
group_267,228,417,0.020039637,0.072829315,0,0,0.000614628,0.652120467,296,121
topB,229,281,0.018407226,0.066018192,0.000980392,0.001960784,0.025980392,0.796078431,165,116
rhaS,230,422,0.027613891,0.130748985,0.001035197,0.002070393,0.00310559,0.98757764,297,125
group_1237,234,419,0.001704107,0.009866943,0,0,0.002478315,0.14622057,298,121
group_3158,235,2,0,0,0,0,0,0,0,2
metQ,236,417,0.001103993,0.000864138,0,0.001153403,0.001153403,0.00461361,296,121
group_227,237,47,0.033534666,0.027280983,0.001501502,0.031531532,0.057057057,0.078078078,43,4
group_400,238,282,0.018118536,0.076841532,0.00462963,0.007275132,0.010582011,0.963624339,166,116
nucH,239,416,0.02155536,0.028393729,0,0.001481481,0.053333333,0.214814815,296,120
group_2872,240,2,0.001449275,0.001449275,0,0.001449275,0.002898551,0.002898551,0,2
group_2601,241,8,0,0,0,0,0,0,7,1
group_3502,242,3,0,0,0,0,0,0,0,3
group_1785,244,417,0.000718474,0.001839438,0,0,0,0.010309278,296,121
group_1277,246,414,0.00202073,0.003411916,0,0.001461988,0.002923977,0.049707602,293,121
group_1450,247,4,0.05563447,0.055168097,0,0.055871212,0.11032197,0.111742424,4,0
group_354,248,24,0.290611383,0.281718919,0.001960784,0.096078431,0.578431373,0.641176471,8,16
fatC,249,465,0.201027425,0.335566945,0.005128205,0.01025641,0.155897436,0.994871795,312,153
tsf,254,417,0.002253585,0.001489788,0.001169591,0.002339181,0.003508772,0.007017544,296,121
bcd,255,417,0.014130483,0.011907299,0.008241758,0.012820513,0.022893773,0.075091575,296,121
gltS,256,417,0.004996499,0.043663293,0,0,0.000823045,0.520987654,296,121
ccsA,257,419,0.001781188,0.002245706,0.000841751,0.000841751,0.001683502,0.011784512,298,121
prlC,258,417,0.010943359,0.006259363,0.006381934,0.011291114,0.015709377,0.026509573,296,121
group_3183,259,2,0.001893939,0.001893939,0,0.001893939,0.003787879,0.003787879,1,1
group_1885,260,330,6.39E-05,0.00047167,0,0,0,0.003546099,245,85
group_1523,264,12,0.009456265,0.010572425,0,0,0.021276596,0.021276596,9,3
group_1304,265,418,0.002012606,0.004107148,0,0.003236246,0.003236246,0.045307443,297,121
purM,266,418,0.001427366,0.001078023,0.000966184,0.000966184,0.001932367,0.004830918,297,121
rffG,267,417,0.005866297,0.029613187,0,0.000960615,0.000960615,0.183477426,296,121
group_1195,271,418,0.002135688,0.012224219,0,0,0.002688172,0.180107527,297,121
group_1467,272,13,0.009419458,0.004578571,0.006337136,0.010139417,0.012674271,0.01774398,9,4
ilvC,273,417,0.000497268,0.000913862,0,0,0.000986193,0.006903353,296,121
tag,274,419,0.000387536,0.00077476,0,0,0,0.003623188,298,121
metF,275,419,0.00838878,0.024186711,0.002798507,0.004664179,0.007462687,0.204291045,298,121
group_4032,276,419,0.000332396,0.000641393,0,0,0,0.004711425,298,121
shlB,277,417,0.000983727,0.005671696,0,0.000971817,0.000971817,0.083576288,296,121
group_2845,278,2,0,0,0,0,0,0,2,0
group_2011,279,247,3.51E-05,0.000275012,0,0,0,0.004357298,198,49
group_2636,280,2,0,0,0,0,0,0,0,2
group_437,281,173,0.337078265,0.312427531,0,0.397435897,0.579487179,0.975213675,164,9
group_991,282,7,0.211424252,0.222870336,0,0.097883598,0.476190476,0.478835979,3,4
group_1729,283,416,0.000285458,0.000588907,0,0,0,0.0027894,295,121
argA,288,418,0.002139183,0.003555269,0.000762777,0.001525553,0.00228833,0.062547674,297,121
group_1514,289,208,0.004534693,0.006311169,0,0.001782531,0.008912656,0.058823529,137,71
group_3389,290,4,0,0,0,0,0,0,4,0
accA,291,417,0.00286416,0.00308243,0,0.001041667,0.00625,0.009375,296,121
greB,292,419,0.002324256,0.001771975,0.00203252,0.00203252,0.004065041,0.008130081,298,121
mnmA,293,417,0.001253573,0.005043886,0,0.000868056,0.000868056,0.044270833,296,121
group_2936,294,3,0,0,0,0,0,0,0,3
group_2490,296,13,0.00183636,0.001809078,0,0.002873563,0.002873563,0.005747126,9,4
pilE_4,297,190,0.075249613,0.073304854,0.027301365,0.041302065,0.107455373,0.476023801,144,46
tbpB_1,298,667,0.484991891,0.414347217,0.034437086,0.392935982,0.922737307,0.960264901,471,196
mutL_1,299,425,0.03744732,0.119637107,0.001516684,0.004550051,0.019211325,0.996966633,304,121
group_363,300,11,0.182981709,0.179217584,0,0.219461698,0.362318841,0.579710145,11,0
group_544,301,611,0.452871726,0.318858244,0.001904762,0.605714286,0.765714286,0.832380952,443,168
pasT,302,419,0.000141334,0.002043252,0,0,0,0.029680365,298,121
group_1769,306,417,0.005053222,0.010482681,0,0,0.008281573,0.051759834,296,121
group_1554,307,5,0.2125,0.221177012,0,0,0.442708333,0.442708333,4,1
rlmE,308,419,0.003731254,0.028158828,0,0,0.002849003,0.491452991,298,121
group_1681,309,2,0.085057471,0.085057471,0,0.085057471,0.170114943,0.170114943,0,2
group_504,310,419,0.00195649,0.016118472,0,0,0,0.283887468,298,121
group_323,311,477,0.220577496,0.279562479,0.000877193,0.003508772,0.40877193,0.985964912,339,138
group_739,312,419,0.010019696,0.064029648,0,0.00154321,0.00154321,0.927469136,298,121
group_4101,313,419,0.002499429,0.00294996,0,0,0.005649718,0.016949153,298,121
group_18,314,814,0.2602714,0.213231714,0.003498542,0.233236152,0.419241983,0.900291545,625,189
group_2976,315,2,0,0,0,0,0,0,2,0
group_2538,316,61,0,0,0,0,0,0,36,25
group_2122,317,417,5.81E-05,0.000293879,0,0,0,0.00304414,296,121
group_2705,318,2,0,0,0,0,0,0,0,2
group_1869,322,418,6.56E-05,0.000384566,0,0,0,0.004597701,297,121
pyrC,324,419,0.007653962,0.012428449,0.003864734,0.006763285,0.009661836,0.201932367,298,121
lagD_1,325,272,0.118053209,0.140707819,0.012158055,0.03343465,0.168693009,0.674772036,168,104
group_185,326,17,0.354184027,0.231427596,0.084693878,0.365306122,0.521428571,0.701020408,7,10
group_839,327,421,0.008349719,0.01689839,0,0,0.000840336,0.153781513,300,121
group_250,328,280,0.024515429,0.108583953,0.001609658,0.002012072,0.003219316,0.993561368,167,113
group_477,329,11,0.248499943,0.217061852,0.002283105,0.164383562,0.406392694,0.687214612,8,3
group_2805,330,2,0,0,0,0,0,0,2,0
group_2384,331,138,0.000890841,0.002289039,0,0,0,0.014925373,125,13
group_83,333,425,0.049771787,0.110001238,0.000439947,0.050593929,0.051033876,0.913770348,303,122
group_98,334,29,0.045155479,0.044212953,0.012121212,0.027272727,0.075757576,0.233333333,26,3
group_2450,336,6,0,0,0,0,0,0,6,0
group_2785,337,22,0,0,0,0,0,0,20,2
oatA_2,338,453,0.142840351,0.245405516,0.001005025,0.00201005,0.154773869,0.938190955,305,148
group_651,339,5,0.383933054,0.294900305,0,0.410041841,0.516039052,0.926080893,5,0
group_584,340,417,0.147740327,0.146486228,0,0.135015773,0.300946372,0.463091483,296,121
malP_1,341,418,0.005269178,0.046887775,0.000825083,0.000825083,0.001650165,0.815181518,297,121
ycgM,342,419,0.004346787,0.050582772,0,0,0.00152207,0.738203957,298,121
yiaD,343,419,0.003138141,0.031059143,0,0.001474926,0.001474926,0.455752212,298,121
rpsN,344,416,0.000169011,0.000725415,0,0,0,0.006535948,295,121
group_1601,346,3,0.027434842,0.030673086,0,0,0.061728395,0.061728395,1,2
cvaA,347,419,0.063709187,0.111191858,0.002352941,0.005490196,0.007843137,0.276862745,298,121
rnfH,348,419,0.000153364,0.001325289,0,0,0,0.021505376,298,121
rplS,350,419,0.001475675,0.001470074,0,0.00273224,0.00273224,0.008196721,298,121
fabF_1,353,415,0.131675764,0.249228762,0.002386635,0.008750994,0.010342084,0.630867144,294,121
group_2523,354,31,0.001363522,0.002527762,0,0,0,0.011494253,7,24
group_2139,357,142,0.000176192,0.000848202,0,0,0,0.008438819,139,3
group_951,358,4,0.193910256,0.171019446,0,0.256410256,0.260683761,0.517094017,4,0
group_105,359,137,0.303649244,0.310486309,0,0.350152905,0.353211009,0.949541284,104,33
group_722,360,418,0.005020497,0.047906292,0,0,0.000849618,0.983007647,297,121
group_1772,361,417,0.000246682,0.001060063,0,0,0,0.00952381,296,121
grxD,364,419,3.05E-05,0.00031167,0,0,0,0.006410256,298,121
ppiB,365,419,6.44E-05,0.000349522,0,0,0,0.001960784,298,121
mshD,366,274,0.014805988,0.074017875,0.001883239,0.003766478,0.005649718,0.578154426,163,111
dxr,367,417,0.000440913,0.000540144,0,0,0.000809061,0.003236246,296,121
group_911,368,7,0.110099424,0.129457419,0,0,0.220512821,0.302564103,6,1
group_290,369,419,0.050095719,0.141938911,0,0.004545455,0.009090909,0.6,298,121
group_762,370,419,0.005413905,0.007107178,0,0.005602241,0.008403361,0.098039216,298,121
group_145,371,442,0.153671605,0.246942942,0,0.00147929,0.368343195,0.99408284,317,125
group_43,372,653,0.333319697,0.261569709,0.059259259,0.27037037,0.612962963,0.801851852,462,191
ftsE,373,417,0.001395102,0.001536306,0,0.001536098,0.003072197,0.007680492,296,121
tig,376,419,0.000387365,0.000530189,0,0,0.000762777,0.003051106,298,121
alsT_1,377,420,0.018089179,0.099262555,0.00071736,0.00143472,0.00143472,0.99713056,299,121
group_1732,378,417,0.000811857,0.001279592,0,0,0.002109705,0.008438819,296,121
group_1328,383,390,0.004921475,0.051247272,0,0.002398082,0.002398082,0.71942446,277,113
group_3392,384,3,0,0,0,0,0,0,3,0
recB,385,418,0.004291762,0.04248218,0.000830565,0.001384275,0.00166113,0.620431894,297,121
yccM,386,422,0.020118311,0.090148569,0.003308519,0.004135649,0.005789909,0.945409429,298,124
group_2410,387,26,0.001000696,0.001975849,0,0,0,0.004901961,3,23
ubiC,388,419,3.98E-05,0.000286586,0,0,0,0.004192872,298,121
outO,389,418,7.17E-05,0.000304677,0,0,0,0.003484321,297,121
group_1641,390,7,0.105332456,0.126837073,0,0,0.258064516,0.258064516,7,0
group_1594,392,5,0.185991561,0.188906756,0,0.014767932,0.38185654,0.386075949,5,0
group_1832,395,416,0.002484803,0.002669971,0,0,0.005050505,0.01010101,296,120
aroA,396,417,0.004302372,0.003285601,0.001536098,0.003840246,0.006144393,0.014592934,296,121
rpoC,397,417,0.005642409,0.049388582,0.000478927,0.000718391,0.001197318,0.993534483,296,121
intA_1,398,438,0.23281278,0.238848026,0.005761317,0.353909465,0.358847737,0.851028807,299,139
group_1617,400,2,0.005154639,0.005154639,0,0.005154639,0.010309278,0.010309278,0,2
pbpG,401,419,0.003012524,0.03758924,0,0,0.001064963,0.547390841,298,121
group_1864,402,281,8.45E-05,0.000373991,0,0,0,0.003436426,165,116
group_3162,404,3,0,0,0,0,0,0,1,2
group_3745,405,418,0.00168006,0.0013203,0.00062422,0.001872659,0.002496879,0.013732834,297,121
dmlR_2,406,418,0.001051395,0.010434596,0,0,0.001096491,0.153508772,297,121
group_2446,409,55,0.000175012,0.000909546,0,0,0,0.004901961,42,13
group_2793,410,2,0.000470146,0.000470146,0,0.000470146,0.000940291,0.000940291,0,2
group_2389,411,398,0.000563167,0.00139864,0,0,0,0.007843137,285,113
fecE,412,418,0.003482292,0.003671638,0,0.001317523,0.007905138,0.014492754,297,121
nudB,413,419,0.000537486,0.001026039,0,0,0,0.008714597,298,121
pilE1_6,414,3,0.122708567,0.131338176,0,0.013468013,0.262626263,0.276094276,3,0
group_592,415,417,0.005845606,0.02598681,0,0,0,0.213333333,296,121
group_1296,417,419,0.001896025,0.012391308,0,0,0.00141844,0.129078014,298,121
group_1143,418,418,0.000307951,0.004446682,0,0,0,0.064516129,297,121
group_1764,419,388,9.65E-05,0.000544543,0,0,0,0.006289308,283,105
group_1559,420,6,0.008748012,0.008343223,0,0.009202454,0.016359918,0.018404908,0,6
group_1917,421,336,0.001915909,0.001708483,0,0.002487562,0.002487562,0.009950249,232,104
rlmH,424,419,0.001314237,0.00606937,0,0,0.001937984,0.089147287,298,121
vapD_2,425,412,0.000104142,0.001268133,0,0,0,0.021505376,294,118
nhaP2,426,419,0.004811388,0.02477098,0.000577701,0.001733102,0.002310803,0.402657423,298,121
group_2535,427,9,0.000631089,0.000664706,0,0.001064963,0.001064963,0.002129925,0,9
group_2312,428,2,0.000896057,0.000896057,0,0.000896057,0.001792115,0.001792115,1,1
group_2708,430,2,0,0,0,0,0,0,2,0
dusA,431,417,0.002312951,0.00181602,0.00095511,0.00191022,0.003820439,0.007640879,296,121
sauU,432,417,0.078421932,0.145588565,0.001154734,0.001154734,0.003464203,0.718244804,296,121
group_15,433,195,0.059889897,0.044884603,0.019073569,0.0626703,0.08719346,0.291553134,127,68
glnQ_1,434,419,0.000623043,0.000847255,0,0,0.001355014,0.006775068,298,121
ihfB,435,419,0.018994528,0.03583072,0,0,0.06031746,0.412698413,298,121
group_1957,439,418,2.99E-05,0.000305418,0,0,0,0.003144654,297,121
group_549,441,414,0.016477088,0.06189249,0,0,0,0.438502674,296,118
group_153,442,69,0.040481906,0.100149586,0.008301405,0.012771392,0.019795658,0.574074074,53,16
